pl_name,hostname,ra,dec,sy_dist,pl_rade,pl_bmasse,pl_orbsmax
14 Her b,14 Her,242.6021014,43.8163621,17.9323,,1774.1935064244444,2.8174444444444444
16 Cyg B b,16 Cyg B,295.4656422,50.5168243,21.1397,,533.5145281766667,1.6628333333333334
2MASS J01225093-2439505 b,2MASS J01225093-2439505,20.7128012,-24.6646128,33.8281,11.209,7786.5,52.0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,181.8890906,-39.5484399,64.308,15.69257298,1504.2859054666667,50.5
2MASS J21252752-8138278 b,2MASS J21252752-8138278,321.3662989,-81.6414894,34.1154,,3813.940884,7493.0
2MASS J22501512+2325342 b,2MASS J22501512+2325342,342.5634097,23.4259058,57.2309,,9534.85221,518.0
47 UMa b,47 UMa,164.8647611,40.4304931,13.7967,,808.8531927116668,2.097166666666667
47 UMa c,47 UMa,164.8647611,40.4304931,13.7967,,229.86292957,4.54675
47 UMa d,47 UMa,164.8647611,40.4304931,13.7967,,500.570447285,12.7
51 Eri b,51 Eri,69.4007424,-2.4738245,29.7575,,1801.0287016666668,12.4
51 Peg b,51 Peg,344.3675399,20.7690958,15.461400000000001,,148.36025617,0.052262499999999996
55 Cnc B b,55 Cnc B,133.167908,28.3152863,12.4773,,3.5,0.044
55 Cnc B c,55 Cnc B,133.167908,28.3152863,12.4773,,5.3,0.13
55 Cnc b,55 Cnc,133.1468373,28.3298154,12.5855,,262.35516502071425,0.11404408928571429
55 Cnc c,55 Cnc,133.1468373,28.3298154,12.5855,,54.95810676,0.2391826
55 Cnc d,55 Cnc,133.1468373,28.3298154,12.585500000000001,,1137.1788515633334,5.57525
55 Cnc e,55 Cnc,133.1468373,28.3298154,12.5855,1.9681112129999998,8.664737200666668,0.019006146692307692
55 Cnc f,55 Cnc,133.1468373,28.3298154,12.5855,,46.737643336666665,0.7780111111111112
6 Lyn b,6 Lyn,97.6960311,58.1611753,54.6599,,675.4694583925,2.1295
61 Vir b,61 Vir,199.596455,-18.3157745,8.50332,,5.339012449999999,0.049690333333333336
61 Vir c,61 Vir,199.596455,-18.3157745,8.50332,,17.38463341,0.21550000000000002
61 Vir d,61 Vir,199.596455,-18.3157745,8.50332,,16.91,0.47185
7 CMa b,7 CMa,99.171276,-19.2561808,19.8101,,703.161825,1.847
7 CMa c,7 CMa,99.171276,-19.2561808,19.8101,,283.20605,2.1790000000000003
70 Vir b,70 Vir,202.1064898,13.7763085,17.9011,,2315.677210435,0.47641666666666665
91 Aqr b,91 Aqr,348.9745031,-9.0878076,44.0304,,1017.0,0.7
AB Pic b,AB Pic,94.8039208,-58.0541184,50.0475,,4290.5,260.0
AF Lep b,AF Lep,81.7699216,-11.9011752,26.8564,,1276.843842282,8.7392
AU Mic b,AU Mic,311.2911369,-31.342450000000003,9.7221,4.1458838775,18.552425,0.0662625
AU Mic c,AU Mic,311.2911369,-31.34245,9.7221,2.780404132,14.276666666666666,0.10988333333333333
AU Mic d,AU Mic,311.2911369,-31.34245,9.7221,,1.053,
AU Mic e,AU Mic,311.2911369,-31.34245,9.7221,,28.150000000000002,
BD+05 4868 A b,BD+05 4868 A,326.8614036,6.6053185,43.5687,,6.2,0.0208
BD+14 4559 b,BD+14 4559,318.4010002,14.6893834,49.352,,398.8666,0.7785
BD+45 564 b,BD+45 564,32.9470485,45.9242187,53.622,,432.24663352,0.83
BD+55 362 b,BD+55 362,23.9636676,56.6982282,52.5697,,228.83645304,0.78
BD+60 1417 b,BD+60 1417,190.8875453,60.0143636,44.9543,14.68376472,4767.426105,1662.0
BD+63 1405 b,BD+63 1405,271.3979337,63.6700064,38.0473,,2282.00796226,2.0875000000000004
BD-06 1339 b,BD-06 1339,88.2511811,-5.9963378,20.2695,,765.76686317,0.0428
BD-06 1339 c,BD-06 1339,88.2511811,-5.9963378,20.2695,,53.0,0.435
BD-08 2823 b,BD-08 2823,150.1971964,-9.5165689,41.3342,,991.86911058,0.057999999999999996
BD-08 2823 c,BD-08 2823,150.1971964,-9.5165689,41.3342,,104.0,0.68
BD-11 4672 b,BD-11 4672,278.3688659,-11.6370481,27.1665,,187.51475,2.32
BD-11 4672 c,BD-11 4672,278.3688659,-11.6370481,27.1665,,15.37,0.3
BD-17 63 b,BD-17 63,7.1413494,-16.2273254,34.4603,,1383.343057555,1.34
BD-210397 b,BD-210397,33.3024198,-21.1962147,23.7324,,214.0,2.63
BD-210397 c,BD-210397,33.3024198,-21.1962147,23.7324,,1235.08977763,5.920000000000001
Barnard b,Barnard's star,269.4486144,4.7379808,1.82655,,0.3345,0.02292
Barnard c,Barnard's star,269.4486144,4.7379808,1.82655,,0.335,0.0274
Barnard d,Barnard's star,269.4486144,4.7379808,1.82655,,0.263,0.0188
Barnard e,Barnard's star,269.4486144,4.7379808,1.82655,,0.193,0.0381
CD Cet b,CD Cet,48.3530155,4.7751881,8.60715,,3.95,0.0185
CD-35 2722 b,CD-35 2722,92.3300147,-35.8255375,22.3896,17.37392009,9614.30931175,67.0
COCONUTS-2 b,COCONUTS-2 A,117.300914,-76.702696,10.8864,12.44196858,2272.4731100500003,7506.0
CWISEP J193518.59-154620.3 b,CWISEP J193518.59-154620.3,293.8262172,-15.7725727,14.43,,4926.3403085,2.48
DE CVn b,DE CVn,201.7207198,45.5455449,30.5225,,3823.27330161,5.75
DMPP-1 b,DMPP-1,86.7761233,-10.6303217,62.5388,,20.535,0.14425
DMPP-1 c,DMPP-1,86.7761233,-10.6303217,62.5388,,10.27,0.0853
DMPP-1 d,DMPP-1,86.7761233,-10.6303217,62.5388,,4.035,0.043435
DMPP-1 e,DMPP-1,86.7761233,-10.6303217,62.5388,,4.13,0.0651
DMPP-3 A b,DMPP-3 A,91.62437240000001,-72.51321176666666,45.783899999999996,,2.61,0.06399333333333333
DMPP-4 b,DMPP-4,293.5826648,51.2358069,25.3284,,12.2,0.04853
DMPP-6 b,DMPP-6,120.3857827,-70.0234291,54.6303,,5.8,0.0779
DMPP-6 c,DMPP-6,120.3857827,-70.0234291,54.6303,,13.47,0.2206
DS Tuc A b,DS Tuc A,354.9154673,-69.196043,44.0622,5.835256053333333,413.179,
G 192-15 b,G 192-15,90.6220931,49.861939,9.53114,,1.03,0.01723
G 192-15 c,G 192-15,90.6220931,49.861939,9.53114,,14.3,1.137
G 196-3 b,G 196-3,151.0884754,50.3861806,21.7912,,8263.538582,350.0
G 261-6 b,G 261-6,291.07432,75.5558405,10.6267,,1.37,0.02971
G 264-012 b,G 264-012,326.6719598,66.803848,16.009,,2.5,0.02279
G 264-012 c,G 264-012,326.6719598,66.803848,16.009,,3.75,0.0525
G 9-40 b,G 9-40,134.7188514,21.0747961,27.9276,1.9952699999999999,7.85,0.04015
GJ 1002 b,GJ 1002,1.6764641,-7.5462123,4.84867,,1.08,0.0457
GJ 1002 c,GJ 1002,1.6764641,-7.5462123,4.84867,,1.36,0.0738
GJ 1061 b,GJ 1061,54.0032486,-44.5143104,3.67278,,1.2400000000000002,0.021
GJ 1061 c,GJ 1061,54.0032486,-44.5143104,3.67278,,1.775,0.034600000000000006
GJ 1061 d,GJ 1061,54.0032486,-44.5143104,3.67278,,1.6549999999999998,0.054
GJ 1132 b,GJ 1132,153.7090696,-47.1549358,12.613,1.2060135116666666,1.677841365,0.015443333333333331
GJ 1132 c,GJ 1132,153.7090696,-47.1549358,12.613,,2.64,0.0476
GJ 1148 b,GJ 1148,175.4326081,42.7515862,11.0143,,99.71774332333332,0.16603533333333334
GJ 1148 c,GJ 1148,175.4326081,42.7515862,11.0143,,75.34769291,0.9211
GJ 1151 c,GJ 1151,177.7304866,48.3732334,8.03625,,10.62,0.5714
GJ 1214 b,GJ 1214,258.8313991,4.9606795,14.6427,2.656676222222222,6.9487501428571425,0.014686666666666667
GJ 1252 b,GJ 1252,306.9286462,-56.4622865,20.373,1.228628015,1.5766666666666669,0.009155
GJ 1265 b,GJ 1265,333.4324675,-17.6870623,10.2525,,7.4,0.026
GJ 1289 b,GJ 1289,355.7813464,36.5363314,8.35147,,6.27,0.27
GJ 143 b,GJ 143,51.7501882,-63.500166,16.32,2.6523128700000003,26.665,0.19235000000000002
GJ 15 A b,GJ 15 A,4.6126677,44.0247296,3.56228,,4.604955253333333,0.07229999999999999
GJ 15 A c,GJ 15 A,4.6126677,44.0247296,3.56228,,36.0,5.4
GJ 160.2 b,GJ 160.2,61.6454173,-20.8564724,25.8557,,10.2,0.053
GJ 163 b,GJ 163,62.3228353,-53.3711768,15.1285,,10.6,0.0607
GJ 163 c,GJ 163,62.3228353,-53.3711768,15.1285,,6.8,0.1254
GJ 163 d,GJ 163,62.3228353,-53.3711768,15.1285,,29.4,1.0304
